saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us,version,mtype,token,token_length,code,mid,options,data_length,observable,uri
178.213.32.181,3038827954,192.168.0.123,2063640768,34072,52,udp,1,5683,54155,12,,,,,,0,1,2025-10-31T16:55:32.221+0100,1761926132,221344,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/ndm/logout
188.233.138.163,2743790012,192.168.0.123,2063640768,14037,54,udp,1,5683,47109,12,,,,,,0,1,2025-10-31T16:55:32.228+0100,1761926132,228190,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/ndm/logout
178.213.32.181,3038827954,192.168.0.123,2063640768,36644,52,udp,1,5683,44966,12,,,,,,0,1,2025-10-31T16:55:46.342+0100,1761926146,342254,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/ndm/login
188.233.138.163,2743790012,192.168.0.123,2063640768,16754,54,udp,1,5683,52823,12,,,,,,0,1,2025-10-31T16:55:46.353+0100,1761926146,353721,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/ndm/login
178.161.192.97,1640014258,192.168.0.123,2063640768,11982,54,udp,1,5683,51141,12,,,,,,0,1,2025-10-31T16:55:46.447+0100,1761926146,447901,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/ndm/login
178.213.32.181,3038827954,192.168.0.123,2063640768,36969,49,udp,1,5683,44829,144,"{""cid"":""d919cd54-787b-11e6-8115-99172c5a4466"",""http_port"":80,""type"":""router"",""name"":""ZyXEL Keenetic Lite III"",""version"":""0.3.5-1""}",,,,,0,1,2025-10-31T16:56:00.449+0100,1761926160,449921,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",130,/info
178.161.192.97,1640014258,192.168.0.123,2063640768,13879,54,udp,1,5683,39925,144,"{""cid"":""91fe6a56-4c7a-11e6-8115-03a4ea3a6a28"",""http_port"":80,""type"":""router"",""name"":""ZyXEL Keenetic Lite III"",""version"":""0.3.5-1""}",,,,,0,1,2025-10-31T16:56:00.454+0100,1761926160,454922,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",130,/info
188.233.138.163,2743790012,192.168.0.123,2063640768,18272,54,udp,1,5683,41887,215,"{""cloud"":true,""dpn"":true,""eula"":true,""password"":true,""cid"":""92bfa31a-7ca8-11ec-9396-5fff7967805d"",""vendor"":""Keenetic"",""name"":""Keenetic Sprinter"",""type"":""router"",""version"":""4.03.C.6.3-9"",""http_port"":80}",,,,,0,1,2025-10-31T16:56:00.495+0100,1761926160,495175,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",201,/info
183.234.34.85,1428351671,192.168.0.123,2063640768,21782,42,udp,1,5683,54457,12,,,,,,0,1,2025-10-31T16:56:15.147+0100,1761926175,147071,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0,/ekit
183.234.34.85,1428351671,192.168.0.123,2063640768,22787,42,udp,1,5683,55154,208,"should post example:{""deviceId"":""50292222111"",""deviceMac"":""50294D0120011"",""deviceType"":""30102"",""ipAddress"":""192.168.1.12"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",,,,,0,1,2025-10-31T16:56:28.897+0100,1761926188,897356,3,False,1,2,,0,4.00 Bad Request,32112,"{""CONTENT_FORMAT"": ""TEXT""}",194,/ekit/boot
183.234.34.85,1428351671,192.168.0.123,2063640768,23261,42,udp,1,5683,51290,205,"should post example:{""deviceMac"":""AABBCCDDEEFF"",""productToken"":""*****"",""deviceType"":""30102"",""ipAddress"":""192.168.1.12"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",,,,,0,1,2025-10-31T16:56:43.007+0100,1761926203,7598,3,False,1,2,,0,4.00 Bad Request,32112,"{""CONTENT_FORMAT"": ""TEXT""}",191,/ekit/bootstrap
183.234.34.85,1428351671,192.168.0.123,2063640768,23954,42,udp,1,5683,50715,61,"should post example,{
""deviceId"": ""deviceId""

}",,,,,0,1,2025-10-31T16:56:57.101+0100,1761926217,101089,3,False,1,2,,0,4.00 Bad Request,32112,"{""CONTENT_FORMAT"": ""TEXT""}",47,/ekit/heartbeat
183.234.34.85,1428351671,192.168.0.123,2063640768,25191,42,udp,1,5683,38441,30,not soupport GET,,,,,0,1,2025-10-31T16:57:11.201+0100,1761926231,201935,3,False,1,2,,0,4.00 Bad Request,32112,"{""CONTENT_FORMAT"": ""TEXT""}",16,/ekit/searchgw
170.79.121.111,1870221226,192.168.0.123,2063640768,25654,53,udp,1,5683,35012,31,Method Not Allowed,,,,,0,1,2025-10-31T16:57:25.196+0100,1761926245,196442,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/inform/change
