saddr,uri,version,mtype,token_size,code,mid,token,options,payload,payload_size
112.44.162.172,/.well-known/core,1,ACK,2,2.05 Content,30495,21fd,"{'CONTENT_FORMAT': 'LINKFORMAT', 'SIZE2': 'BlockwiseTuple(block_number=2, more=False, size_exponent=5)', 'BLOCK2': '1098'}","</qlink>,</qlink/ack>;title=""Qlink-ACK Resource"",</qlink/queryGwExt>;title=""queryGwExt Resource"",</qlink/request>;title=""Qlink-Request Resource"",</qlink/searchgw>;title=""SearchGW Resource"",</qlink/success>;title=""Qlink-Success Resource"",</qlink/wlantest>;title=""Qlink-WLAN Resource"",</gw>,</gw/query>,</gw/query/DiagnotorConnection>;title=""Connect To Diagnotor"",</gw/query/apdevices>;title=""apdevices Data Resource"",</gw/query/config>;title=""config-properties Resource"",</basic>,</basic/regist>;title=""Qlink-Regist Resource"",</basic/show>;title=""Qlink-SHOW Resource"",</device>,</device/command>,</device/command/control>;title=""Device Control Resource"",</device/command/data>;title=""Control Data Resource"",</device/inform>,</device/inform/boot>;title=""Boot-Request Resource"",</device/inform/bootstrap>;title=""bootstrap-Request Resource"",</device/inform/data>;obs;title=""Inform Data Resource"",</device/inform/heartbeat>;title=""HeartBeat Resource"",</device/inform/offline>;title=""ChildDevice Offline Resource"",</device/inform/requestSync>;title=""AP device request synchronization"",</.well-known/core>",1098
117.177.213.165,/qlink,1,ACK,2,4.05 Method Not Allowed,58198,494a,,,0
117.177.213.165,/qlink/ack,,,,,,,,Network error: MessageError,
117.177.213.165,/qlink/queryGwExt,1,ACK,2,2.05 Content,47195,98ed,{'CONTENT_FORMAT': 'TEXT'},"{""gatewayMac"":""1C4176B7A471"",""firmwareVersion"":""CMDC;H2-3"",""type"":1,""gatewayManufacturer"":""CMDC"",""softwareVersion"":""V2.6.03.03;OSGI1.0;2.6.1-230712"",""gatewaySn"":""CMDCB18D8406"",""andlinkVersion"":""2.6.0"",""provinceAbb"":""SCH""}",221
117.177.213.165,/qlink/request,1,ACK,2,2.05 Content,10784,c6da,{'CONTENT_FORMAT': 'TEXT'},"should post example,should post example should post exampleshould post exampleshould post exampleshould post examplepost exampleshould post exampleshould post example::{""deviceId"":""50294D0120011"",""deviceType"":""111"",""ipAddress"":""192.168.1.15""}",242
117.177.213.165,/qlink/searchgw,1,ACK,2,2.05 Content,18273,c206,{'CONTENT_FORMAT': 'TEXT'},"{""result"":1}",12
117.177.213.165,/qlink/success,1,ACK,2,2.05 Content,38472,7e47,{'CONTENT_FORMAT': 'TEXT'},,0
117.177.213.165,/qlink/wlantest,,,,,,,,Network error: MessageError,
117.177.213.165,/gw,1,ACK,2,4.05 Method Not Allowed,31991,0205,,,0
117.177.213.165,/gw/query,1,ACK,2,4.05 Method Not Allowed,53066,4902,,,0
117.177.213.165,/gw/query/DiagnotorConnection,1,ACK,2,2.05 Content,939,5695,{'CONTENT_FORMAT': 'TEXT'},"090_1C4176B7A471{""apmsOnlineStatus"":0}",38
117.177.213.165,/gw/query/apdevices,1,ACK,2,2.05 Content,6876,a5ba,{'CONTENT_FORMAT': 'TEXT'},"{""APDevices"":[]}",16
117.177.213.165,/gw/query/config,1,ACK,2,2.05 Content,60518,4a8d,{'CONTENT_FORMAT': 'TEXT'},"""respCode"":1",12
117.177.213.165,/basic,1,ACK,2,4.05 Method Not Allowed,2066,27af,,,0
